ID_Producto,Nombre_Producto,Categoría,ID_Sucursal,Nombre_Sucursal,Enero,Febrero,Marzo,Abril,Mayo
101,Laptop Pro,Electrónica,S01,Lima Centro,16540,17890,15430,,19210
102,Smartphone X,Electrónica,S02,Arequipa,12340,13110,12870,14320,15600
201,Silla Ergonómica,Mobiliario,S03,Trujillo,8120,,9300,7650,9880
202,Escritorio Moderno,Mobiliario,S04,Cusco,11500,10870,11240,12190,
301,Teclado Mecánico,Accesorios,S05,Miraflores,5320,5670,,6100,6750
302,Mouse Inalámbrico,Accesorios,S06,Piura,,4950,5130,5210,5490
103,Tablet Lite,Electrónica,S01,Lima Centro,9200,9870,8990,10340,11150
104,Monitor 4K,Electrónica,S02,Arequipa,14500,15210,14880,15900,16750
105,Smartwatch,Electrónica,S03,Trujillo,7500,,7950,8200,8550
203,Lámpara de Escritorio,Mobiliario,S04,Cusco,3100,3300,,3450,3700
204,Estantería,Mobiliario,S05,Miraflores,6200,6550,6300,6800,
303,Webcam HD,Accesorios,S06,Piura,2500,2650,2750,2800,2950
304,Hub USB-C,Accesorios,S01,Lima Centro,,2100,2250,2350,2500
401,Licuadora Power,Hogar,S02,Arequipa,3500,3700,3600,3850,4050
402,Cafetera Express,Hogar,S03,Trujillo,4200,4400,4300,,4750
101,Laptop Pro,Electrónica,S04,Cusco,16800,17200,16500,18100,19000
102,Smartphone X,Electrónica,S05,Miraflores,12500,13300,12700,14100,15400
201,Silla Ergonómica,Mobiliario,S06,Piura,8300,8600,,7800,9700
202,Escritorio Moderno,Mobiliario,S01,Lima Centro,11700,,11400,12300,12800
301,Teclado Mecánico,Accesorios,S02,Arequipa,5400,5800,6100,6300,6800
302,Mouse Inalámbrico,Accesorios,S03,Trujillo,4700,4900,5200,5100,
103,Tablet Lite,Electrónica,S04,Cusco,9400,9900,8800,,11200
104,Monitor 4K,Electrónica,S05,Miraflores,14700,15400,15000,16100,16900
105,Smartwatch,Electrónica,S06,Piura,7700,7900,8100,8300,8600
203,Lámpara de Escritorio,Mobiliario,S01,Lima Centro,,3400,3600,3500,3800
204,Estantería,Mobiliario,S02,Arequipa,6400,6700,6500,7000,7300
303,Webcam HD,Accesorios,S03,Trujillo,2600,2700,2800,,3000
304,Hub USB-C,Accesorios,S04,Cusco,2200,2300,2400,2500,2600
401,Licuadora Power,Hogar,S05,Miraflores,3600,,3700,3900,4100
402,Cafetera Express,Hogar,S06,Piura,4300,4500,4400,4800,
101,Laptop Pro,Electrónica,S01,Lima Centro,16700,17500,,18300,19200
102,Smartphone X,Electrónica,S02,Arequipa,12600,13400,12900,14200,15500
201,Silla Ergonómica,Mobiliario,S03,Trujillo,8400,8700,9200,7900,9800
202,Escritorio Moderno,Mobiliario,S04,Cusco,,11100,11600,12400,12900
301,Teclado Mecánico,Accesorios,S05,Miraflores,5500,5900,6200,6400,6900
302,Mouse Inalámbrico,Accesorios,S06,Piura,4800,5000,5300,5200,5700
103,Tablet Lite,Electrónica,S01,Lima Centro,9500,,9000,10500,11300
104,Monitor 4K,Electrónica,S02,Arequipa,14800,15500,15100,16200,17000
105,Smartwatch,Electrónica,S03,Trujillo,7800,8000,8200,8400,
203,Lámpara de Escritorio,Mobiliario,S04,Cusco,3300,3500,,3700,3900
204,Estantería,Mobiliario,S05,Miraflores,6500,6800,6600,7100,7400
303,Webcam HD,Accesorios,S06,Piura,2700,2800,2900,3000,3100
304,Hub USB-C,Accesorios,S01,Lima Centro,,2400,2500,2600,2700
401,Licuadora Power,Hogar,S02,Arequipa,3700,3900,3800,4000,4200
402,Cafetera Express,Hogar,S03,Trujillo,4400,4600,,4900,5100
101,Laptop Pro,Electrónica,S04,Cusco,16900,17700,16800,18400,
102,Smartphone X,Electrónica,S05,Miraflores,12700,13500,13000,14300,15600
201,Silla Ergonómica,Mobiliario,S06,Piura,8500,8800,9300,8000,9900
202,Escritorio Moderno,Mobiliario,S01,Lima Centro,11900,11300,,12500,13000
301,Teclado Mecánico,Accesorios,S02,Arequipa,5600,6000,6300,6500,7000
302,Mouse Inalámbrico,Accesorios,S03,Trujillo,4900,5100,5400,5300,
103,Tablet Lite,Electrónica,S04,Cusco,9600,10100,9100,10600,11400
104,Monitor 4K,Electrónica,S05,Miraflores,,15600,15200,16300,17100
105,Smartwatch,Electrónica,S06,Piura,7900,8100,8300,8500,8800
203,Lámpara de Escritorio,Mobiliario,S01,Lima Centro,3400,3600,3800,3700,4000
204,Estantería,Mobiliario,S02,Arequipa,6600,6900,6700,,7500
303,Webcam HD,Accesorios,S03,Trujillo,2800,2900,3000,3100,3200
304,Hub USB-C,Accesorios,S04,Cusco,2400,,2600,2700,2800
401,Licuadora Power,Hogar,S05,Miraflores,3800,4000,3900,4100,4300
402,Cafetera Express,Hogar,S06,Piura,4500,4700,4600,5000,
101,Laptop Pro,Electrónica,S01,Lima Centro,17000,17800,16900,18500,19400
102,Smartphone X,Electrónica,S02,Arequipa,12800,13600,,14400,15700
201,Silla Ergonómica,Mobiliario,S03,Trujillo,8600,8900,9400,8100,10000
202,Escritorio Moderno,Mobiliario,S04,Cusco,12000,11400,11800,,13100
301,Teclado Mecánico,Accesorios,S05,Miraflores,5700,6100,6400,6600,7100
302,Mouse Inalámbrico,Accesorios,S06,Piura,5000,5200,5500,5400,5900
103,Tablet Lite,Electrónica,S01,Lima Centro,,10200,9200,10700,11500
104,Monitor 4K,Electrónica,S02,Arequipa,15000,15700,15300,16400,17200
105,Smartwatch,Electrónica,S03,Trujillo,8000,8200,8400,8600,8900
203,Lámpara de Escritorio,Mobiliario,S04,Cusco,3500,3700,3900,3800,
204,Estantería,Mobiliario,S05,Miraflores,6700,,6800,7300,7600
303,Webcam HD,Accesorios,S06,Piura,2900,3000,3100,3200,3300
304,Hub USB-C,Accesorios,S01,Lima Centro,2500,2700,2800,2900,3000
401,Licuadora Power,Hogar,S02,Arequipa,3900,4100,4000,,4400
402,Cafetera Express,Hogar,S03,Trujillo,4600,4800,4700,5100,5300
101,Laptop Pro,Electrónica,S04,Cusco,17100,17900,17000,18600,19500
102,Smartphone X,Electrónica,S05,Miraflores,12900,13700,13200,14500,
201,Silla Ergonómica,Mobiliario,S06,Piura,8700,9000,,8200,10100
202,Escritorio Moderno,Mobiliario,S01,Lima Centro,12100,11500,11900,12700,13200
301,Teclado Mecánico,Accesorios,S02,Arequipa,5800,6200,6500,6700,
302,Mouse Inalámbrico,Accesorios,S03,Trujillo,5100,5300,5600,5500,6000
103,Tablet Lite,Electrónica,S04,Cusco,9800,10300,9300,10800,11600
104,Monitor 4K,Electrónica,S05,Miraflores,15100,15800,,16500,17300
105,Smartwatch,Electrónica,S06,Piura,8100,8300,8500,8700,9000
203,Lámpara de Escritorio,Mobiliario,S01,Lima Centro,3600,,3900,3800,4100
204,Estantería,Mobiliario,S02,Arequipa,6800,7100,6900,7400,7700
303,Webcam HD,Accesorios,S03,Trujillo,,3000,3100,3200,3300
304,Hub USB-C,Accesorios,S04,Cusco,2600,2800,2900,3000,3100
401,Licuadora Power,Hogar,S05,Miraflores,4000,4200,4100,4300,4500
402,Cafetera Express,Hogar,S06,Piura,4700,4900,4800,,5400
101,Laptop Pro,Electrónica,S01,Lima Centro,17200,18000,17100,18700,19600
102,Smartphone X,Electrónica,S02,Arequipa,13000,,13300,14600,15900
201,Silla Ergonómica,Mobiliario,S03,Trujillo,8800,9100,9600,8300,
202,Escritorio Moderno,Mobiliario,S04,Cusco,12200,11600,12000,12800,13300
301,Teclado Mecánico,Accesorios,S05,Miraflores,5900,6300,6600,6800,7300
